semester - 1
roll, sgpa
1001106346,8.32
1001106058,6.86
1001106059,6.14
1001106056,7.93
1001106057,7.71
1001106054,8.57
1001106055,7.96
1001106052,6.46
1001106053,8.39
1001106050,8.43
1001106051,7.39
1001106034,8.29
1001106035,5.11
1001106036,5.43
1001106037,8.07
1001106030,5.39
1001106031,7.86
1001106032,7.96
1001106033,8.32
1121106011,6.96
1121106010,8.65
1121106012,3.81
1001106038,8.75
1001106039,7.36
1001106029,7.61
1001106049,8.75
1001106048,8.46
1001106060,7.43
1001106045,8.46
1001106047,7.04
1001106046,4.21
1001106041,8.61
1001106040,7.89
1001106043,8.0
1001106042,5.64

semester - 2
roll, sgpa
1001106346,8.32
1001106058,7.21
1001106059,7.03
1001106056,8.07
1001106057,8.94
1001106054,9.11
1001106055,9.04
1001106052,7.36
1001106053,8.57
1001106050,9.11
1001106051,8.14
1001106034,8.07
1001106035,5.97
1001106036,4.92
1001106037,8.07
1001106030,6.38
1001106031,8.32
1001106032,7.96
1001106033,8.39
1121106011,7.44
1121106010,8.56
1121106012,5.48
1001106038,8.75
1001106039,7.86
1001106029,7.61
1001106049,9.14
1001106048,8.61
1001106060,7.79
1001106045,8.57
1001106047,7.04
1001106046,5.68
1001106041,8.86
1001106040,8.57
1001106043,8.79
1001106042,5.81

semester - 3
roll, sgpa
1001106346,8.38
1001106058,6.27
1001106059,6.19
1001106056,7.15
1001106057,9.08
1001106054,9.04
1001106055,8.38
1001106052,6.62
1001106053,8.23
1001106050,9.35
1001106051,7.54
1001106034,7.77
1001106035,6.38
1001106036,6.0
1001106037,8.19
1001106030,6.04
1001106031,7.19
1001106032,8.08
1001106033,7.81
1121106011,7.88
1121106010,9.08
1121106012,6.5
1001106038,8.31
1001106039,7.54
1001106029,7.38
1001106049,8.62
1001106048,8.27
1001106060,7.5
1001106045,8.58
1001106047,6.31
1001106046,6.54
1001106041,8.69
1001106040,8.23
1001106043,9.08
1001106042,5.88

semester - 4
roll, sgpa
1001106346,8.28
1001106058,6.52
1001106059,6.24
1001106056,8.2
1001106057,8.84
1001106054,8.48
1001106055,8.52
1001106052,6.92
1001106053,8.72
1001106050,9.08
1001106051,8.08
1001106034,8.56
1001106035,6.44
1001106036,5.36
1001106037,8.2
1001106030,6.84
1001106031,7.68
1001106032,7.72
1001106033,8.28
1121106011,7.33
1121106010,8.33
1121106012,5.58
1001106038,8.44
1001106039,7.88
1001106029,8.08
1001106049,8.28
1001106048,7.92
1001106060,7.36
1001106045,8.68
1001106047,6.84
1001106046,7.4
1001106041,8.68
1001106040,8.84
1001106043,8.64
1001106042,6.88

semester - 5
roll, sgpa
1001106346,8.38
1001106058,7.29
1001106059,6.33
1001106056,9.21
1001106057,9.63
1001106054,9.29
1001106055,8.71
1001106052,8.13
1001106053,9.29
1001106050,9.67
1001106051,9.38
1001106034,9.0
1001106035,7.04
1001106036,5.25
1001106037,8.88
1001106030,6.92
1001106031,8.38
1001106032,8.25
1001106033,8.75
1121106011,7.5
1121106010,8.15
1121106012,6.5
1001106038,8.96
1001106039,8.21
1001106029,8.88
1001106049,8.42
1001106048,8.88
1001106060,8.38
1001106045,8.96
1001106047,7.25
1001106046,8.75
1001106041,9.33
1001106040,9.42
1001106043,8.58
1001106042,7.71

semester - 6
roll, sgpa
1001106346,7.71
1001106058,6.29
1001106059,6.21
1001106056,8.54
1001106057,8.88
1001106054,8.75
1001106055,8.25
1001106052,6.88
1001106053,8.5
1001106050,8.13
1001106051,8.29
1001106034,8.54
1001106035,6.79
1001106036,4.71
1001106037,8.25
1001106030,7.38
1001106031,7.83
1001106032,7.5
1001106033,8.21
1121106011,8.7
1121106010,9.13
1121106012,8.04
1001106038,8.67
1001106039,8.38
1001106029,8.21
1001106049,7.92
1001106048,8.33
1001106060,7.88
1001106045,8.0
1001106047,6.88
1001106046,7.96
1001106041,8.5
1001106040,9.42
1001106043,8.67
1001106042,7.63

semester - 7
roll, sgpa
1001106346,7.19
1001106058,6.12
1001106059,6.58
1001106056,7.96
1001106057,8.77
1001106054,8.73
1001106055,8.23
1001106052,6.92
1001106053,8.62
1001106050,8.62
1001106051,8.19
1001106034,8.04
1001106035,6.92
1001106036,4.69
1001106037,8.38
1001106030,7.38
1001106031,7.73
1001106032,7.58
1001106033,8.08
1001106038,8.23
1001106039,7.92
1001106029,8.23
1001106049,7.62
1001106048,7.81
1001106060,7.42
1001106045,8.27
1001106047,6.46
1001106046,7.46
1001106041,8.88
1001106040,8.85
1001106043,8.04
1001106042,6.92

semester - 8
roll, sgpa
1001106346,8.43
1001106058,7.57
1001106059,6.78
1001106056,9.0
1001106057,9.48
1001106054,9.35
1001106055,9.22
1001106052,8.22
1001106053,9.61
1001106050,9.48
1001106051,9.52
1001106034,8.96
1001106035,7.7
1001106036,5.7
1001106037,9.48
1001106030,8.09
1001106031,9.09
1001106032,9.39
1001106033,9.35
1001106038,9.26
1001106039,9.35
1001106029,9.48
1001106049,8.74
1001106048,9.22
1001106060,8.74
1001106045,9.35
1001106047,7.57
1001106046,8.09
1001106041,9.74
1001106040,9.74
1001106043,9.13
1001106042,8.35

