semester - 1
roll, sgpa
1101106260,5.93
1101106261,6.29
1101106262,7.32
1101106263,6.64
1101106264,6.43
1101106265,3.64
1101106266,6.29
1101106267,7.39
1101106268,7.07
1101106269,6.11
1101106273,5.93
1101106272,4.43
1101106276,5.43
1101106275,6.25
1101106274,6.39
1101106259,7.0
1101106258,6.71
1101106271,5.5
1101106270,5.18
1101106255,5.86
1101106254,6.5
1101106257,7.93
1101106256,7.57
1101106253,7.61

semester - 2
roll, sgpa
1101106260,6.14
1101106261,5.46
1101106262,7.82
1101106263,6.86
1101106264,7.25
1101106265,1.14
1101106266,6.86
1101106267,6.89
1101106268,6.96
1101106269,3.36
1101106273,6.43
1101106272,0.71
1101106276,3.5
1101106275,6.32
1101106274,6.79
1101106259,6.07
1101106258,6.61
1101106271,0.71
1101106270,5.54
1101106255,6.71
1101106254,6.07
1101106257,7.5
1101106256,7.0
1101106253,7.29

semester - 3
roll, sgpa
1101106260,6.44
1101106261,6.48
1101106262,7.59
1101106263,6.89
1101106264,6.89
1101106266,5.74
1101106267,7.63
1101106268,7.52
1101106269,2.0
1101106273,7.15
1101106276,5.7
1101106275,6.41
1101106274,7.3
1101106259,6.0
1101106258,6.93
1101106270,5.44
1101106255,6.22
1101106254,6.85
1101106257,8.15
1101106256,7.19
1101106253,7.11

semester - 4
roll, sgpa
1101106260,7.63
1101106261,6.04
1101106262,7.93
1101106263,7.7
1101106264,6.59
1101106266,5.67
1101106267,7.78
1101106268,7.96
1101106273,7.41
1101106276,4.48
1101106275,7.19
1101106274,7.81
1101106259,6.52
1101106258,7.0
1101106270,6.3
1101106255,5.74
1101106254,7.78
1101106257,8.19
1101106256,7.19
1101106253,7.78

semester - 5
roll, sgpa
1101106260,8.08
1101106261,6.38
1101106262,8.5
1101106263,8.04
1101106264,8.15
1101106266,6.19
1101106267,8.35
1101106268,8.04
1101106273,8.0
1101106276,6.62
1101106275,7.38
1101106274,8.08
1101106259,7.08
1101106258,7.85
1101106270,6.92
1101106255,6.81
1101106254,8.5
1101106257,8.81
1101106256,7.65
1101106253,8.19

semester - 6
roll, sgpa
1101106260,8.26
1101106261,6.13
1101106262,7.65
1101106263,7.96
1101106264,7.78
1101106266,6.17
1101106267,7.87
1101106268,8.17
1101106273,7.78
1101106276,5.57
1101106275,6.65
1101106274,7.78
1101106259,6.78
1101106258,8.13
1101106270,6.3
1101106255,6.48
1101106254,7.7
1101106257,8.52
1101106256,7.17
1101106253,8.13

semester - 7
roll, sgpa
1101106260,8.33
1101106261,6.88
1101106262,8.0
1101106263,8.79
1101106264,8.29
1101106266,6.95
1101106267,8.58
1101106268,8.54
1101106273,9.0
1101106276,5.96
1101106275,8.04
1101106274,8.08
1101106259,6.88
1101106258,8.79
1101106270,7.04
1101106255,6.46
1101106254,8.75
1101106257,9.04
1101106256,8.13
1101106253,9.04

semester - 8
roll, sgpa
1101106260,8.71
1101106261,8.14
1101106262,8.0
1101106263,8.86
1101106264,8.14
1101106266,7.57
1101106267,8.86
1101106268,9.17
1101106273,9.0
1101106276,7.0
1101106275,7.86
1101106274,8.29
1101106259,7.29
1101106258,9.0
1101106270,7.29
1101106255,7.57
1101106254,9.14
1101106257,9.0
1101106256,8.43
1101106253,8.71

