semester - 1
roll, sgpa
1101106199,6.71
1221106022,5.86
1101106187,5.79
1221106024,5.07
1221106025,7.18
1101106178,4.14
1101106179,6.32
1101106190,8.29
1101106191,8.54
1101106196,9.43
1101106194,9.07
1101106195,7.86
1101106170,8.25
1101106171,9.0
1101106198,8.36
1101106173,8.64
1101106174,9.0
1101106175,8.0
1101106176,8.29
1101106177,8.11
1101106202,8.07
1101106203,7.79
1101106201,6.54
1101106206,9.04
1101106207,8.79
1101106204,8.75
1101106223,8.18
1101106220,8.39
1101106208,6.96
1101106209,7.71
1101106221,8.68
1101106192,7.25
1101106222,5.96
1101106193,8.46
1101106216,7.89
1221106021,4.39
1101106210,8.25
1221106023,6.32
1221106027,2.22
1221106026,4.46
1101106181,8.43
1101106180,8.14
1101106183,8.5
1101106182,5.75
1101106185,6.71
1101106184,8.04
1101106169,3.43
1101106168,7.5
1101106167,6.25
1101106166,8.86
1101106186,8.57
1101106211,8.89
1101106189,6.57
1101106213,7.14
1101106212,7.32
1101106215,6.93
1101106217,8.32
1101106188,8.96
1101106219,8.0
1101106218,8.61

semester - 2
roll, sgpa
1101106199,6.07
1221106022,7.63
1101106187,5.36
1221106024,4.41
1221106025,8.0
1101106178,4.79
1101106179,5.64
1101106190,8.68
1101106191,6.89
1101106196,7.93
1101106194,8.32
1101106195,7.32
1101106170,8.32
1101106171,8.39
1101106198,7.68
1101106173,8.25
1101106174,8.36
1101106175,7.25
1101106176,7.61
1101106177,7.71
1101106202,8.11
1101106203,7.43
1101106201,6.14
1101106206,7.75
1101106207,7.11
1101106204,7.79
1101106223,7.86
1101106220,7.89
1101106208,6.07
1101106209,6.0
1101106221,8.29
1101106192,6.43
1101106222,6.82
1101106193,8.46
1101106216,6.86
1221106021,3.41
1101106210,7.25
1221106023,6.56
1221106026,3.81
1101106181,8.25
1101106180,7.57
1101106183,7.93
1101106182,5.36
1101106185,6.75
1101106184,7.89
1101106169,2.93
1101106168,7.07
1101106167,6.68
1101106166,8.11
1101106186,8.21
1101106211,8.39
1101106189,5.61
1101106213,6.46
1101106212,6.29
1101106215,5.86
1101106217,7.64
1101106188,8.14
1101106219,7.11
1101106218,8.07

semester - 3
roll, sgpa
1101106199,5.64
1221106022,7.67
1101106187,5.0
1221106024,4.08
1221106025,7.92
1101106178,0.43
