semester - 1
roll, sgpa
1201106010,6.89
1201106011,7.18
1201106012,7.89
1201106013,7.11
1201106015,7.21
1201106016,8.36
1201106017,7.5
1201106018,7.25
1201106019,7.75
1201106009,8.25
1321106004,4.85
1321106005,0.76
1321106006,6.63
1321106007,4.78
1321106001,6.59
1321106002,5.15
1321106003,5.41
1201106007,8.25
1201106005,8.68
1201106004,7.93
1201106003,7.82
1201106002,8.04
1201106001,4.0
1201106025,8.14
1201106024,6.86
1201106027,7.36
1201106008,8.82
1201106021,8.25
1201106020,8.04
1201106023,7.21
1201106022,7.96

semester - 2
roll, sgpa
1201106010,6.82
1201106011,7.5
1201106012,8.68
1201106013,6.96
1201106015,7.86
1201106016,8.89
1201106017,7.89
1201106018,7.57
1201106019,7.71
1201106009,8.46
1321106004,5.73
1321106006,6.96
1321106007,5.27
1321106001,8.08
1321106002,5.42
1321106003,6.54
1201106007,8.07
1201106005,8.07
1201106004,2.62
1201106003,7.89
1201106002,7.89
1201106001,4.96
1201106025,8.0
1201106024,6.38
1201106027,7.82
1201106008,8.68
1201106021,7.96
1201106020,8.32
1201106023,7.39
1201106022,7.75

semester - 3
roll, sgpa
1201106010,6.63
1201106011,7.07
1201106012,8.81
1201106013,6.63
1201106015,7.78
1201106016,8.52
1201106017,8.41
1201106018,7.11
1201106019,8.3
1201106009,8.52
1321106004,6.64
1321106006,7.68
1321106007,6.2
1321106001,7.4
1321106002,6.44
1321106003,6.96
1201106007,8.33
1201106005,8.33
1201106003,8.44
1201106002,8.26
1201106001,5.04
1201106025,8.56
1201106024,5.89
1201106027,7.78
1201106008,9.41
1201106021,8.89
1201106020,9.07
1201106023,7.67
1201106022,8.0

semester - 4
roll, sgpa
1201106010,6.31
1201106011,7.35
1201106012,9.27
1201106013,8.04
1201106015,7.46
1201106016,8.38
1201106017,8.27
1201106018,6.96
1201106019,7.42
1201106009,9.15
1321106004,6.0
1321106006,6.88
1321106007,4.4
1321106001,8.28
1321106002,5.96
1321106003,6.4
1201106007,8.73
1201106005,8.54
1201106003,8.73
1201106002,7.73
1201106001,4.69
1201106025,9.15
1201106024,6.42
1201106027,8.08
1201106008,9.0
1201106021,9.0
1201106020,9.27
1201106023,7.31
1201106022,7.69

semester - 5
roll, sgpa
1201106010,7.48
1201106011,7.64
1201106012,9.12
1201106013,7.44
1201106015,7.64
1201106016,9.24
1201106017,8.04
1201106018,6.4
1201106019,7.84
1201106009,8.84
1321106004,5.73
1321106006,6.55
1321106007,4.59
1321106002,6.27
1321106003,6.27
1201106007,8.52
1201106005,8.76
1201106003,8.2
1201106002,8.16
1201106001,4.44
1201106025,9.28
1201106024,5.56
1201106027,8.32
1201106008,8.88
1201106021,8.4
1201106020,9.52
1201106023,7.36
1201106022,8.64

semester - 6
roll, sgpa
1201106010,8.04
1201106011,6.96
1201106012,9.28
1201106013,6.84
1201106015,7.68
1201106016,8.88
1201106017,7.96
1201106018,7.2
1201106019,7.44
1201106009,8.72
1321106004,7.78
1321106006,8.43
1321106007,7.65
1321106002,7.7
1321106003,8.17
1201106007,8.68
1201106005,8.36
1201106003,7.76
1201106002,8.6
1201106001,3.92
1201106025,9.0
1201106024,4.12
1201106027,8.64
1201106008,8.48
1201106021,8.64
1201106020,8.92
1201106023,6.72
1201106022,8.12

semester - 7
roll, sgpa
1201106010,7.68
1201106011,7.18
1201106012,8.91
1201106013,7.05
1201106015,8.83
1201106016,8.36
1201106017,7.91
1201106018,6.95
1201106019,7.86
1201106009,8.83
1201106007,8.64
1201106005,8.57
1201106003,7.64
1201106002,8.41
1201106025,9.22
1201106024,7.22
1201106027,8.36
1201106008,8.09
1201106021,8.18
1201106020,8.91
1201106023,7.78
1201106022,8.23

semester - 8
roll, sgpa
1201106010,8.48
1201106011,8.09
1201106012,9.09
1201106013,8.22
1201106016,8.96
1201106017,8.83
1201106018,8.09
1201106019,8.3
1201106007,9.09
1201106003,8.05
1201106002,8.3
1201106027,8.83
1201106008,8.57
1201106021,8.7
1201106020,9.22
1201106022,7.78

