semester - 1
roll, sgpa
1201106061,9.25
1201106060,9.0
1201106062,6.14
1201106065,8.18
1201106064,8.54
1201106067,8.57
1201106066,9.54
1201106069,7.68
1201106068,9.36
1201106085,6.82
1201106084,9.29
1201106083,1.14
1201106070,5.75
1201106081,5.07
1201106080,7.43
1201106187,9.11
1201106071,8.75
1321106024,5.68
1201106310,8.71
1321106025,5.61
1321106018,5.43
1321106017,5.0
1201106089,6.07
1321106015,5.36
1201106093,8.57
1201106088,6.71
1201106087,8.5
1201106086,7.46
1201106170,9.04
1201106111,6.96
1201106092,9.14
1201106113,9.18
1201106112,8.54
1201106072,9.29
1201106073,8.21
1201106056,8.93
1201106057,8.89
1201106076,7.5
1201106077,8.64
1201106074,8.68
1201106075,8.96
1201106090,7.89
1201106091,8.5
1201106078,8.46
1201106079,0.71
1201106058,8.46
1201106059,8.11
1201106096,8.54
1201106082,8.32
1201106094,8.79
1201106168,9.14
1321106016,5.0
1201106098,8.54
1321106019,5.21
1201106095,6.25
1321106022,1.24
1321106023,3.86
1321106020,4.43
1321106021,5.57
1201106158,9.0
1201106110,9.18
1201106100,8.93
1201106108,6.68
1201106109,7.07
1201106106,7.57
1201106107,7.21
1201106104,8.79
1201106105,9.46
1201106102,9.0
1201106103,9.07
1201106099,7.57
1201106101,7.82

semester - 2
roll, sgpa
1201106061,8.75
1201106060,8.36
1201106062,6.71
1201106065,7.89
1201106064,8.82
1201106067,8.54
1201106066,9.04
1201106069,7.46
1201106068,8.93
1201106085,7.32
1201106084,8.71
1201106070,0.71
1201106081,5.57
1201106080,7.54
1201106187,8.5
1201106071,8.43
1321106024,6.96
1201106310,8.89
1321106025,7.52
1321106018,7.59
1321106017,5.7
1201106089,6.25
1321106015,7.89
1201106093,8.86
1201106088,7.18
1201106087,8.14
1201106086,7.54
1201106170,8.86
1201106111,7.18
1201106092,8.64
1201106113,8.86
1201106112,8.68
1201106072,8.96
1201106073,7.79
1201106056,8.5
1201106057,7.93
1201106076,7.39
1201106077,8.32
1201106074,8.29
1201106075,8.86
1201106090,7.71
1201106091,8.14
1201106078,7.96
1201106058,7.61
1201106059,7.43
1201106096,8.18
1201106082,8.04
1201106094,8.96
1201106168,9.29
1321106016,6.3
1201106098,8.86
1321106019,6.04
1201106095,6.68
1321106023,4.85
1321106020,4.19
1321106021,7.0
1201106158,8.75
1201106110,9.07
1201106100,8.11
1201106108,6.0
1201106109,6.62
1201106106,7.21
1201106107,6.46
1201106104,7.0
1201106105,9.21
1201106102,8.61
1201106103,8.75
1201106099,7.64
1201106101,7.68

semester - 3
roll, sgpa
1201106061,8.93
1201106060,8.71
1201106062,5.5
1201106065,7.68
1201106064,8.5
1201106067,7.54
1201106066,9.36
1201106069,7.14
1201106068,8.82
1201106085,6.79
1201106084,9.04
1201106080,7.46
1201106187,8.5
