semester - 1
roll, sgpa
1201106142,9.32
1201106143,8.07
1201106140,8.86
1201106141,7.79
1201106146,8.46
1201106147,8.46
1201106144,7.21
1201106145,8.82
1201106148,8.21
1201106149,7.64
1201106328,8.46
1201106006,8.86
1321106031,8.22
1321106030,8.37
1321106033,7.96
1321106032,6.93
1321106034,8.22
1201106137,9.39
1201106136,8.04
1201106135,8.61
1201106134,8.57
1201106133,6.64
1201106118,8.29
1201106131,8.18
1201106130,9.68
1201106115,8.04
1201106119,8.93
1201106117,8.11
1201106139,7.82
1201106132,8.96
1201106151,8.25
1201106150,8.57
1201106153,7.61
1201106152,8.82
1201106155,8.93
1201106154,8.61
1201106172,9.07
1201106340,8.79
1201106114,9.36
1201106138,8.29
1321106028,7.56
1321106029,6.85
1321106026,7.96
1321106027,7.41
1201106120,7.71
1201106121,8.46
1201106122,8.82
1201106123,9.39
1201106124,9.5
1201106125,8.68
1201106126,4.0
1201106127,8.68
1201106128,1.14
1201106129,9.5
1201106026,8.82

semester - 2
roll, sgpa
1201106142,9.18
1201106143,7.96
1201106140,8.89
1201106141,7.96
1201106146,8.82
1201106147,8.21
1201106144,8.04
1201106145,8.93
1201106148,8.39
1201106149,8.29
1201106328,9.29
1201106006,8.64
1321106031,7.54
1321106030,8.32
1321106033,8.29
1321106032,6.5
1321106034,7.96
1201106137,9.75
1201106136,8.25
1201106135,8.82
1201106134,8.86
1201106133,7.68
1201106118,8.71
1201106131,8.86
1201106130,9.57
1201106115,8.79
1201106119,9.29
1201106117,9.14
1201106139,8.46
1201106132,8.86
1201106151,8.93
1201106150,8.64
1201106153,8.07
1201106152,8.86
1201106155,8.75
1201106154,8.39
1201106172,8.61
1201106340,8.86
1201106114,9.29
1201106138,9.04
1321106028,7.46
1321106029,7.36
1321106026,7.82
1321106027,8.0
1201106120,8.71
1201106121,8.54
1201106122,9.04
1201106123,9.25
1201106124,9.61
1201106125,8.79
1201106126,4.15
1201106127,9.11
1201106129,9.5
1201106026,8.75

semester - 3
roll, sgpa
1201106142,8.41
1201106143,7.63
1201106140,8.37
1201106141,7.93
1201106146,8.22
1201106147,8.63
1201106144,6.63
1201106145,0.44
1201106148,8.37
1201106149,7.96
1201106328,7.44
1201106006,8.26
1321106031,8.68
1321106030,9.2
1321106033,8.44
1321106032,7.92
1321106034,8.44
1201106137,9.33
1201106136,8.15
1201106135,7.85
1201106134,8.59
1201106133,6.67
1201106118,0.44
1201106131,8.33
