semester - 1
roll, sgpa
1201106249,6.89
1201106248,6.57
1201106258,7.86
1201106259,7.25
1201106262,6.96
1201106252,7.75
1201106253,7.14
1201106250,7.61
1201106251,6.57
1201106256,6.82
1201106257,7.46
1201106247,7.25
1201106246,7.82
1201106261,7.43
1201106260,6.71
1201106254,6.96
1201106255,6.68
1321106048,6.7

semester - 2
roll, sgpa
1201106249,6.86
1201106248,6.86
1201106258,6.29
1201106259,6.96
1201106262,6.68
1201106252,6.86
1201106253,6.79
1201106250,7.43
1201106251,6.79
1201106256,7.0
1201106257,7.39
1201106247,7.43
1201106246,8.04
1201106261,7.82
1201106260,7.0
1201106254,5.93
1201106255,6.82
1321106048,7.67

semester - 3
roll, sgpa
1201106249,6.41
1201106248,6.96
1201106258,8.89
1201106259,8.44
1201106262,7.81
1201106252,8.7
1201106253,8.19
1201106250,8.37
1201106251,7.15
1201106256,7.44
1201106257,7.85
1201106247,8.59
1201106246,8.74
1201106261,8.81
1201106260,7.63
1201106254,7.26
1201106255,6.04
1321106048,8.81

semester - 4
roll, sgpa
1201106249,6.96
1201106248,6.89
1201106258,8.7
1201106259,8.93
1201106262,8.93
1201106252,9.0
1201106253,8.44
1201106250,8.07
1201106251,7.3
1201106256,7.41
1201106257,7.41
1201106247,8.56
1201106246,8.41
1201106261,8.74
1201106260,7.67
1201106254,7.33
1201106255,6.67
1321106048,7.96

semester - 5
roll, sgpa
1201106249,7.5
1201106248,7.12
1201106258,8.85
1201106259,8.58
1201106262,9.23
1201106252,9.54
1201106253,8.62
1201106250,8.46
1201106251,8.04
1201106256,7.85
1201106257,7.62
1201106247,9.12
1201106246,9.15
1201106261,9.08
1201106260,7.96
1201106254,7.5
1201106255,6.73
1321106048,8.79

semester - 6
roll, sgpa
1201106249,7.39
1201106248,6.13
1201106258,8.91
1201106259,8.83
1201106262,8.22
1201106252,8.87
1201106253,8.87
1201106250,8.3
1201106251,7.78
1201106256,7.39
1201106257,7.52
1201106247,8.61
1201106246,8.65
1201106261,8.87
1201106260,7.74
1201106254,7.22
1201106255,6.39
1321106048,8.86

semester - 7
roll, sgpa
1201106249,8.13
1201106248,6.75
1201106258,8.5
1201106259,9.42
1201106262,9.25
1201106252,9.42
1201106253,9.08
1201106250,8.42
1201106251,8.04
1201106256,8.04
1201106257,8.08
1201106247,9.29
1201106246,8.67
1201106261,9.29
1201106260,8.54
1201106254,7.17
1201106255,7.86

semester - 8
roll, sgpa
1201106249,8.48
1201106248,7.43
1201106258,9.0
1201106259,9.24
1201106262,9.14
1201106252,9.86
1201106253,9.0
1201106250,8.14
1201106251,8.1
1201106256,8.11
1201106257,8.29
1201106247,9.14
1201106246,8.67
1201106260,9.0
1201106254,7.71

