semester - 1
roll, sgpa
1201106217,8.68
1201106334,8.54
1201106218,7.96
1201106219,8.36
1321106045,7.0
1201106229,8.75
1201106228,3.36
1201106227,8.39
1201106226,8.75
1201106225,7.39
1201106224,7.64
1201106223,7.93
1201106222,7.39
1201106221,8.86
1201106220,8.54
1201106241,8.61
1201106240,6.29
1201106243,7.93
1201106242,9.32
1201106245,3.36
1201106244,9.04
1201106191,8.71
1321106043,8.44
1321106044,7.04
1201106342,8.75
1321106046,8.26
1321106047,6.04
1201106238,8.36
1201106239,7.64
1201106230,9.39
1201106231,8.89
1201106232,9.07
1201106233,9.07
1201106234,7.93
1201106235,8.32
1201106236,8.68
1201106237,9.21

semester - 2
roll, sgpa
1201106217,8.89
1201106334,8.68
1201106218,8.36
1201106219,8.86
1321106045,6.64
1201106229,8.86
1201106227,8.36
1201106226,8.93
1201106225,7.79
1201106224,7.39
1201106223,8.79
1201106222,7.82
1201106221,9.04
1201106220,8.36
1201106241,8.57
1201106240,4.5
1201106243,8.61
1201106242,9.29
1201106244,8.96
1201106191,8.61
1321106043,9.18
1321106044,5.86
1201106342,8.43
1321106046,8.0
1321106047,5.32
1201106238,8.68
1201106239,7.71
1201106230,9.21
1201106231,8.71
1201106232,9.21
1201106233,8.79
1201106234,7.2
1201106235,8.0
1201106236,8.04
1201106237,9.07

semester - 3
roll, sgpa
1201106334,6.3
1201106218,7.52
1201106219,7.96
1321106045,7.56
1201106229,8.15
1201106227,8.0
1201106226,8.44
1201106225,7.0
1201106224,6.3
1201106223,7.81
1201106222,6.67
1201106221,9.33
1201106220,7.04
1201106241,8.52
1201106240,4.78
1201106243,8.19
1201106242,0.44
1201106244,8.48
1201106191,7.67
1321106043,9.04
1321106044,5.48
1201106342,8.11
1321106046,8.88
1321106047,7.56
1201106238,8.44
1201106239,7.26
1201106230,8.59
1201106231,8.52
1201106232,8.48
1201106233,8.63
1201106234,7.81
1201106236,8.44
1201106237,8.63

semester - 4
roll, sgpa
1201106334,8.11
1201106218,7.57
1201106219,8.61
1321106045,6.5
1201106229,8.82
1201106227,8.43
1201106226,8.64
1201106225,7.04
1201106224,6.32
1201106223,7.25
1201106222,6.36
1201106221,9.43
1201106220,7.54
1201106241,8.79
1201106240,5.15
1201106243,8.04
1201106244,8.46
1201106191,8.96
1321106043,8.83
1321106044,6.0
1201106342,8.11
1321106046,8.0
1321106047,6.79
1201106238,8.64
1201106239,7.75
1201106230,9.0
1201106231,7.86
1201106232,8.39
1201106233,9.0
1201106234,8.39
1201106236,8.46
1201106237,8.75

semester - 5
roll, sgpa
1201106334,9.0
1201106218,8.12
1201106219,9.16
1321106045,6.78
1201106229,8.84
1201106227,8.88
1201106226,8.8
1201106225,6.88
1201106224,6.6
1201106223,7.56
1201106222,7.32
1201106221,9.64
1201106220,8.16
1201106241,8.68
1201106240,4.44
1201106243,8.76
1201106244,8.88
1201106191,9.16
1321106043,8.61
1321106044,6.43
1201106342,9.04
1321106046,7.78
1321106047,6.57
1201106238,7.6
1201106239,7.36
1201106230,9.04
1201106231,8.84
1201106232,8.68
1201106233,9.0
1201106234,9.28
1201106236,8.84
1201106237,9.0

semester - 6
roll, sgpa
1201106334,8.25
1201106218,8.04
1201106219,8.42
1321106045,7.62
1201106229,8.71
1201106227,8.54
1201106226,8.33
1201106225,6.63
1201106224,6.75
1201106223,7.04
1201106222,7.63
1201106221,9.0
1201106220,8.0
1201106241,8.17
1201106240,4.88
1201106243,8.71
1201106244,8.42
1201106191,8.88
1321106043,9.0
1321106044,7.67
1201106342,8.21
1321106046,8.19
1321106047,8.14
1201106238,7.33
1201106239,7.25
1201106230,8.88
1201106231,8.29
1201106232,8.04
1201106233,8.46
1201106234,8.71
1201106236,8.38
1201106237,8.63

semester - 7
roll, sgpa
1201106334,8.43
1201106218,7.83
1201106219,8.65
1201106229,8.67
1201106227,8.13
1201106226,7.61
1201106225,6.96
1201106224,6.96
1201106223,6.3
1201106222,8.14
1201106221,9.04
1201106220,7.74
1201106241,7.61
1201106240,2.46
1201106243,8.61
1201106244,8.13
1201106191,9.29
1201106342,7.43
1201106238,6.52
1201106239,7.57
1201106230,9.0
1201106231,8.35
1201106232,8.95
1201106233,8.71
1201106234,9.43
1201106236,7.74
1201106237,8.74

semester - 8
roll, sgpa
1201106334,9.14
1201106218,9.0
1201106219,9.14
1201106227,8.52
1201106226,8.52
1201106225,7.19
1201106224,7.9
1201106223,7.43
1201106221,9.57
1201106220,8.14
1201106241,9.14
1201106243,9.0
1201106244,8.1
1201106342,9.14
1201106238,8.05
1201106239,7.67
1201106231,9.43
1201106236,9.14
1201106237,9.43

