semester - 1
roll, sgpa
1201106063,8.64
1201106278,8.89
1201106279,8.5
1201106274,6.29
1201106275,8.29
1201106276,7.57
1201106277,8.46
1201106270,7.96
1201106271,8.39
1201106272,1.21
1201106273,4.86
1321106053,7.59
1321106052,7.96
1321106051,7.96
1321106050,7.33
1201106289,9.0
1201106288,8.43
1201106285,8.57
1201106284,9.32
1201106287,7.25
1201106286,6.68
1201106281,7.96
1201106280,9.18
1201106283,8.61
1201106282,9.0
1201106014,8.68
1201106306,8.96
1201106263,8.39
1201106267,9.04
1201106266,7.96
1201106265,3.64
1201106264,8.0
1201106304,7.04
1201106305,8.29
1201106269,3.32
1201106268,7.71
1201106300,8.64
1201106301,7.04
1201106302,6.57
1201106097,8.79
1321106049,6.48
1201106303,6.43
1201106298,8.79
1201106299,9.14
1201106296,7.14
1201106297,6.75
1201106294,8.5
1201106295,7.25
1201106292,7.61
1201106293,8.71
1201106290,7.61
1201106291,9.21
1201106048,8.29
1201106044,8.79

semester - 2
roll, sgpa
1201106063,8.57
1201106278,8.82
1201106279,8.21
1201106274,6.38
1201106275,7.11
1201106276,7.25
1201106277,7.82
1201106270,7.71
1201106271,7.71
1201106272,0.0
1201106273,3.83
1321106053,7.73
1321106052,7.92
1321106051,8.19
1321106050,8.0
1201106289,7.89
1201106288,8.36
1201106285,7.75
1201106284,8.21
1201106287,6.79
1201106286,6.27
1201106281,7.0
1201106280,8.68
1201106283,8.04
1201106282,8.46
1201106014,8.71
1201106306,9.0
1201106263,7.86
1201106267,8.5
1201106266,8.07
1201106265,4.21
1201106264,7.86
1201106304,6.89
1201106305,8.36
1201106269,0.0
1201106268,7.86
1201106300,8.71
1201106301,7.61
1201106302,4.69
1201106097,8.36
1321106049,6.12
1201106303,6.39
1201106298,8.5
1201106299,9.29
1201106296,7.46
1201106297,7.79
1201106294,7.82
1201106295,7.21
1201106292,7.39
1201106293,9.11
1201106290,7.14
1201106291,8.93
1201106048,8.5
1201106044,8.75

semester - 3
roll, sgpa
1201106063,6.97
1201106278,8.81
1201106279,7.78
1201106274,6.85
1201106275,7.81
1201106276,6.96
1201106277,7.78
1201106270,6.96
1201106271,7.0
1201106272,0.0
1201106273,1.78
1321106053,7.75
1321106052,7.54
1321106051,8.63
1321106050,8.42
1201106289,8.44
1201106288,8.07
1201106285,7.22
1201106284,8.19
1201106287,6.89
1201106286,5.78
1201106281,6.96
1201106280,8.78
1201106283,8.07
1201106282,7.67
1201106014,7.67
1201106306,8.93
1201106263,8.07
1201106267,8.59
1201106266,7.56
1201106265,3.48
1201106264,7.22
1201106304,6.56
1201106305,8.3
1201106268,7.04
1201106300,8.52
1201106301,6.52
1201106302,5.26
1201106097,6.78
1321106049,7.5
1201106303,6.11
1201106298,8.33
1201106299,8.59
1201106296,7.04
1201106297,7.74
1201106294,7.3
1201106295,6.0
1201106292,7.52
1201106293,8.33
1201106290,6.85
1201106291,8.41
1201106048,7.44
1201106044,7.59

semester - 4
roll, sgpa
1201106063,8.23
1201106278,9.35
1201106279,8.81
1201106274,7.54
1201106275,8.46
1201106276,7.54
1201106277,8.77
1201106270,7.65
1201106271,8.31
1321106053,8.38
1321106052,8.25
1321106051,9.21
1321106050,8.21
1201106289,8.46
1201106288,8.46
1201106285,8.04
1201106284,8.81
1201106287,6.73
1201106286,7.12
1201106281,8.42
1201106280,8.88
1201106283,8.23
1201106282,8.38
1201106014,8.71
1201106306,8.65
1201106263,8.35
1201106267,8.81
1201106266,7.92
1201106265,5.23
1201106264,8.31
1201106304,6.46
1201106305,8.5
1201106268,7.54
1201106300,8.69
1201106301,6.65
1201106302,6.42
1201106097,8.0
1321106049,7.38
1201106303,6.65
1201106298,8.81
1201106299,8.73
1201106296,7.62
1201106297,7.96
1201106294,7.62
1201106295,7.19
1201106292,7.54
1201106293,8.46
1201106290,7.54
1201106291,8.38
1201106048,8.63
1201106044,9.19

semester - 5
roll, sgpa
1201106063,7.92
1201106278,9.13
1201106279,8.71
1201106274,8.29
1201106275,8.08
1201106276,8.58
1201106277,8.21
1201106270,8.08
1201106271,8.21
1321106053,8.12
1321106052,8.0
1321106051,8.76
1321106050,8.52
1201106289,8.79
1201106288,8.21
1201106285,9.0
1201106284,9.13
1201106287,7.0
1201106286,6.25
1201106281,8.5
1201106280,9.38
1201106283,8.13
1201106282,8.71
1201106014,8.63
1201106306,9.0
1201106263,8.25
1201106267,9.21
1201106266,8.58
1201106265,2.17
1201106264,8.67
1201106304,7.25
1201106305,8.75
1201106268,8.5
1201106300,9.04
1201106301,7.54
1201106302,6.08
1201106097,8.13
1321106049,7.2
1201106303,6.92
1201106298,8.92
1201106299,9.25
1201106296,8.04
1201106297,8.63
1201106294,7.83
1201106295,7.0
1201106292,8.83
1201106293,9.04
1201106290,7.79
1201106291,9.13
1201106048,8.46
1201106044,9.38

semester - 6
roll, sgpa
1201106063,8.29
1201106278,9.25
1201106279,8.46
1201106274,7.88
1201106275,8.33
1201106276,8.58
1201106277,8.83
1201106270,7.96
1201106271,8.54
1321106053,8.14
1321106052,7.95
1321106051,8.91
1321106050,8.73
1201106289,8.79
1201106288,8.42
1201106285,8.87
1201106284,8.88
1201106287,6.2
1201106286,6.42
1201106281,8.58
1201106280,9.13
1201106283,8.67
1201106282,9.04
1201106014,8.71
1201106306,9.75
1201106263,9.04
1201106267,8.88
1201106266,8.42
1201106265,6.13
1201106264,8.75
1201106304,7.54
1201106305,9.13
1201106268,7.63
1201106300,9.13
1201106301,7.88
1201106302,6.38
1201106097,8.21
1321106049,7.64
1201106303,7.42
1201106298,8.88
1201106299,9.25
1201106296,7.54
1201106297,8.25
1201106294,8.04
1201106295,6.25
1201106292,8.29
1201106293,9.42
1201106290,7.79
1201106291,9.13
1201106048,8.21
1201106044,9.0

semester - 7
roll, sgpa
1201106063,8.36
1201106278,9.28
1201106279,7.96
1201106274,8.32
1201106275,7.6
1201106276,8.04
1201106277,8.2
1201106270,7.64
1201106271,8.0
1201106289,8.2
1201106288,8.24
1201106285,8.28
1201106284,8.92
1201106287,8.05
1201106286,6.72
1201106281,8.08
1201106280,8.8
1201106283,8.68
1201106282,8.8
1201106014,8.4
1201106306,9.28
1201106263,9.32
1201106267,8.48
1201106266,7.96
1201106265,5.88
1201106264,8.12
1201106304,6.44
1201106305,8.68
1201106268,8.36
1201106300,8.92
1201106301,7.08
1201106302,4.92
1201106097,8.08
1201106303,6.68
1201106298,8.56
1201106299,8.68
1201106296,7.28
1201106297,8.2
1201106294,7.56
1201106295,6.36
1201106292,8.08
1201106293,8.8
1201106290,7.48
1201106291,8.8
1201106048,8.72
1201106044,8.92

semester - 8
roll, sgpa
1201106063,8.45
1201106278,8.95
1201106279,8.73
1201106274,8.5
1201106275,8.45
1201106276,8.59
1201106277,8.73
1201106270,8.14
1201106271,8.32
1201106289,8.32
1201106288,9.0
1201106285,8.64
1201106284,8.86
1201106286,7.05
1201106281,8.77
1201106280,8.95
1201106282,9.36
1201106014,8.45
1201106306,9.36
1201106267,9.05
1201106266,8.64
1201106265,5.59
1201106264,9.0
1201106304,7.09
1201106305,8.95
1201106268,8.73
1201106300,8.55
1201106301,8.42
1201106302,6.86
1201106097,8.32
1201106303,7.91
1201106298,9.05
1201106299,9.23
1201106296,8.05
1201106297,8.68
1201106294,8.14
1201106295,7.27
1201106292,8.23
1201106293,9.05
1201106290,8.64
1201106291,9.09
1201106048,8.59
1201106044,9.23

