semester - 1
roll, sgpa
1201106313,7.5
1201106312,7.89
1201106311,6.93
1201106317,7.14
1201106316,8.39
1201106315,7.64
1201106314,7.86
1201106331,8.07
1201106330,7.68
1201106319,6.71
1201106318,7.25
1201106335,0.71
1201106337,3.93
1201106336,7.11
1201106329,6.43
1321106059,5.35
1321106058,0.62
1321106057,5.31
1321106056,0.7
1201106339,7.86
1321106054,4.96
1321106055,0.62
1201106338,6.68
1201106341,7.68
1201106333,7.54
1201106321,6.61
1201106308,7.11
1201106309,8.11
1201106322,8.21
1201106323,7.64
1201106320,6.54
1201106307,7.32
1201106326,7.11
1201106327,5.46
1201106324,7.39
1201106325,6.36
1321106062,6.46
1321106064,5.5
1201106332,7.25
1321106063,5.46
1321106060,4.96
1321106061,5.19

semester - 2
roll, sgpa
1201106313,7.79
1201106312,8.04
1201106311,7.21
1201106317,7.82
1201106316,8.54
1201106315,8.29
1201106314,8.36
1201106331,9.0
1201106330,7.68
1201106319,7.11
1201106318,6.89
1201106336,7.04
1201106329,6.57
1321106059,6.73
1321106057,7.42
1201106339,8.46
1321106054,7.04
1201106338,6.86
1201106341,7.89
1201106333,8.43
1201106308,6.29
1201106309,7.86
1201106322,8.93
1201106323,8.39
1201106320,7.32
1201106307,7.25
1201106326,7.64
1201106327,4.5
1201106324,7.43
1201106325,7.79
1321106062,7.92
1321106064,7.77
1201106332,6.96
1321106063,5.58
1321106060,6.5
1321106061,6.81

semester - 3
roll, sgpa
1201106313,7.19
1201106312,8.04
1201106311,7.15
1201106317,6.81
1201106316,7.5
1201106315,7.04
1201106314,7.65
1201106331,8.35
1201106330,8.19
1201106319,5.62
1201106318,6.62
1201106336,6.23
1201106329,6.19
1321106059,7.15
1321106057,7.52
1201106339,7.62
1321106054,6.96
1201106338,6.88
1201106341,7.23
1201106333,7.81
1201106308,6.15
1201106309,7.69
1201106322,8.23
1201106323,7.12
1201106320,6.58
1201106307,6.46
1201106326,7.12
1201106327,5.73
1201106324,5.77
1321106062,8.07
1321106064,8.3
1201106332,7.27
1321106063,6.93
1321106060,6.37
1321106061,7.19

semester - 4
roll, sgpa
1201106313,7.19
1201106312,7.81
1201106311,7.81
1201106317,7.42
1201106316,8.19
1201106315,8.12
1201106314,8.73
1201106331,8.5
1201106330,7.62
1201106319,5.96
1201106318,6.35
1201106336,6.77
1201106329,5.62
1321106059,6.58
1321106057,7.21
1201106339,7.88
1321106054,6.04
1201106338,7.23
1201106341,7.85
1201106333,7.65
1201106308,5.85
1201106309,8.04
1201106322,8.42
1201106323,7.69
1201106320,6.19
1201106307,6.69
1201106326,7.35
1201106327,5.88
1201106324,6.77
1321106062,7.63
1321106064,7.46
1201106332,7.69
1321106063,6.0
1321106060,6.33
1321106061,5.38

semester - 5
roll, sgpa
1201106313,7.33
1201106312,8.19
1201106311,7.56
1201106317,6.63
1201106316,8.11
1201106315,8.22
1201106314,8.96
1201106331,8.81
1201106330,7.78
1201106319,6.44
1201106318,6.41
1201106336,6.67
1201106329,6.85
1321106059,6.75
1321106057,7.75
1201106339,7.78
1321106054,7.63
1201106338,7.37
1201106341,8.07
1201106333,7.63
1201106308,6.26
1201106309,7.67
1201106322,7.78
1201106323,7.44
1201106320,6.74
1201106307,6.93
1201106326,7.56
1201106327,5.93
1201106324,6.48
1321106062,7.5
1321106064,7.88
1201106332,7.48
1321106063,6.5
1321106060,5.96
1321106061,6.58

semester - 6
roll, sgpa
1201106313,7.42
1201106312,8.67
1201106311,7.46
1201106317,6.83
1201106316,8.0
1201106315,7.92
1201106314,8.63
1201106331,9.13
1201106330,7.92
1201106319,5.46
1201106318,6.25
1201106336,6.79
1201106329,6.67
1321106059,6.95
1321106057,6.81
1201106339,8.13
1321106054,7.0
1201106338,7.58
1201106341,7.63
1201106333,8.04
1201106308,6.08
1201106309,7.63
1201106322,8.71
1201106323,7.5
1201106320,6.33
1201106307,6.75
1201106326,7.79
1201106327,5.14
1201106324,5.71
1321106062,7.81
1321106064,6.86
1201106332,7.58
1321106063,6.57
1321106060,6.67
1321106061,6.71

semester - 7
roll, sgpa
1201106313,7.67
1201106312,8.47
1201106311,8.47
1201106317,7.4
1201106316,8.4
1201106315,8.4
1201106314,9.07
1201106331,9.58
1201106330,7.57
1201106319,6.75
1201106318,5.4
1201106336,8.5
1201106329,7.0
1201106339,8.75
1201106338,8.5
1201106341,7.92
1201106333,7.95
1201106308,6.8
1201106309,8.33
1201106322,8.5
1201106323,7.83
1201106320,7.75
1201106307,6.8
1201106326,8.5
1201106327,6.83
1201106324,7.33
1201106332,8.83

semester - 8
roll, sgpa
1201106313,7.67
1201106312,8.57
1201106311,7.57
1201106317,7.24
1201106316,8.48
1201106315,7.52
1201106314,8.86
1201106331,9.0
1201106319,6.86
1201106318,6.86
1201106336,7.0
1201106329,7.29
1201106339,7.86
1201106338,7.14
1201106341,7.1
1201106308,7.0
1201106309,8.05
1201106322,8.62
1201106323,7.52
1201106320,7.57
1201106307,6.67
1201106326,7.57
1201106327,5.29
1201106324,6.67
1201106332,8.22

